Id Localidad,Nombre,Id Provincia,Nombre_Normalizado,ZonaId,Descripcion
9135,VILLA LUZURIAGA,2,VILLA LUZURIAGA,31,31 - GRAN BUENOS AIRES OESTE
9160,GONZALEZ CATAN,2,GONZALEZ CATAN,31,31 - GRAN BUENOS AIRES OESTE
9169,20 DE JUNIO,2,20 DE JUNIO,31,31 - GRAN BUENOS AIRES OESTE
9174,PONTEVEDRA,2,PONTEVEDRA,31,31 - GRAN BUENOS AIRES OESTE
9199,VIRREY DEL PINO,2,VIRREY DEL PINO,31,31 - GRAN BUENOS AIRES OESTE
9211,ISIDRO CASANOVA,2,ISIDRO CASANOVA,31,31 - GRAN BUENOS AIRES OESTE
9215,VILLA MADERO,2,VILLA MADERO,31,31 - GRAN BUENOS AIRES OESTE
9216,ALDO BONZI,2,ALDO BONZI,31,31 - GRAN BUENOS AIRES OESTE
9217,TAPIALES,2,TAPIALES,31,31 - GRAN BUENOS AIRES OESTE
9236,CIUDAD EVITA,2,CIUDAD EVITA,31,31 - GRAN BUENOS AIRES OESTE
8675,FLORIDA,2,FLORIDA,30,30 - GRAN BUENOS AIRES NORTE
8678,VILLA MARTELLI,2,VILLA MARTELLI,30,30 - GRAN BUENOS AIRES NORTE
8679,MUNRO,2,MUNRO,30,30 - GRAN BUENOS AIRES NORTE
8684,VILLA ADELINA,2,VILLA ADELINA,30,30 - GRAN BUENOS AIRES NORTE
8685,BOULOGNE,2,BOULOGNE,30,30 - GRAN BUENOS AIRES NORTE
8689,DON TORCUATO,2,DON TORCUATO,30,30 - GRAN BUENOS AIRES NORTE
8706,LOS POLVORINES,2,LOS POLVORINES,30,30 - GRAN BUENOS AIRES NORTE
8707,VILLA DE MAYO,2,VILLA DE MAYO,30,30 - GRAN BUENOS AIRES NORTE
8713,GRAND BOURG,2,GRAND BOURG,30,30 - GRAN BUENOS AIRES NORTE
8731,EL TALAR,2,EL TALAR,30,30 - GRAN BUENOS AIRES NORTE
8732,GENERAL PACHECO,2,GENERAL PACHECO,30,30 - GRAN BUENOS AIRES NORTE
8737,RICARDO ROJAS,2,RICARDO ROJAS,30,30 - GRAN BUENOS AIRES NORTE
8749,BENAVIDEZ,2,BENAVIDEZ,30,30 - GRAN BUENOS AIRES NORTE
8752,DIQUE LUJAN,2,DIQUE LUJAN,30,30 - GRAN BUENOS AIRES NORTE
8786,LA LUCILA,2,LA LUCILA,30,30 - GRAN BUENOS AIRES NORTE
8787,OLIVOS,2,OLIVOS,30,30 - GRAN BUENOS AIRES NORTE
8788,VICENTE LOPEZ,2,VICENTE LOPEZ,30,30 - GRAN BUENOS AIRES NORTE
8790,MARTINEZ,2,MARTINEZ,30,30 - GRAN BUENOS AIRES NORTE
8796,BECCAR,2,BECCAR,30,30 - GRAN BUENOS AIRES NORTE
8799,VICTORIA,2,VICTORIA,30,30 - GRAN BUENOS AIRES NORTE
8801,SAN FERNANDO,2,SAN FERNANDO,30,30 - GRAN BUENOS AIRES NORTE
